Date,Date Int,Day Name Short,Day Num Week,Day of Year,Month Day Num,Month Name Short,Month Num,Month Year,Month Year Order,Quarter Num,Quarter Year,Quarter Year Order,Week Ending,Week Num,Week Year,Week Year Order,Year
2021-02-22 00:00:00,20210222,Mon,2,53,22,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-27 00:00:00,9,W9 2021,202109,2021
2021-02-23 00:00:00,20210223,Tue,3,54,23,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-27 00:00:00,9,W9 2021,202109,2021
2021-02-24 00:00:00,20210224,Wed,4,55,24,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-27 00:00:00,9,W9 2021,202109,2021
2021-02-25 00:00:00,20210225,Thu,5,56,25,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-27 00:00:00,9,W9 2021,202109,2021
2021-02-26 00:00:00,20210226,Fri,6,57,26,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-27 00:00:00,9,W9 2021,202109,2021
2021-02-27 00:00:00,20210227,Sat,7,58,27,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-27 00:00:00,9,W9 2021,202109,2021
2021-02-28 00:00:00,20210228,Sun,1,59,28,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-03-06 00:00:00,10,W10 2021,202110,2021
2021-03-01 00:00:00,20210301,Mon,2,60,1,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-06 00:00:00,10,W10 2021,202110,2021
2021-03-02 00:00:00,20210302,Tue,3,61,2,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-06 00:00:00,10,W10 2021,202110,2021
2021-03-03 00:00:00,20210303,Wed,4,62,3,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-06 00:00:00,10,W10 2021,202110,2021
2021-03-04 00:00:00,20210304,Thu,5,63,4,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-06 00:00:00,10,W10 2021,202110,2021
2021-03-05 00:00:00,20210305,Fri,6,64,5,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-06 00:00:00,10,W10 2021,202110,2021
2021-03-06 00:00:00,20210306,Sat,7,65,6,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-06 00:00:00,10,W10 2021,202110,2021
2021-03-07 00:00:00,20210307,Sun,1,66,7,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-13 00:00:00,11,W11 2021,202111,2021
2021-03-08 00:00:00,20210308,Mon,2,67,8,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-13 00:00:00,11,W11 2021,202111,2021
2021-03-09 00:00:00,20210309,Tue,3,68,9,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-13 00:00:00,11,W11 2021,202111,2021
2021-03-10 00:00:00,20210310,Wed,4,69,10,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-13 00:00:00,11,W11 2021,202111,2021
2021-03-11 00:00:00,20210311,Thu,5,70,11,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-13 00:00:00,11,W11 2021,202111,2021
2021-03-12 00:00:00,20210312,Fri,6,71,12,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-13 00:00:00,11,W11 2021,202111,2021
2021-03-13 00:00:00,20210313,Sat,7,72,13,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-13 00:00:00,11,W11 2021,202111,2021
2021-03-14 00:00:00,20210314,Sun,1,73,14,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-20 00:00:00,12,W12 2021,202112,2021
2021-03-15 00:00:00,20210315,Mon,2,74,15,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-20 00:00:00,12,W12 2021,202112,2021
2021-03-16 00:00:00,20210316,Tue,3,75,16,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-20 00:00:00,12,W12 2021,202112,2021
2021-03-17 00:00:00,20210317,Wed,4,76,17,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-20 00:00:00,12,W12 2021,202112,2021
2021-03-18 00:00:00,20210318,Thu,5,77,18,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-20 00:00:00,12,W12 2021,202112,2021
2021-03-19 00:00:00,20210319,Fri,6,78,19,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-20 00:00:00,12,W12 2021,202112,2021
2021-03-20 00:00:00,20210320,Sat,7,79,20,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-20 00:00:00,12,W12 2021,202112,2021
2021-03-21 00:00:00,20210321,Sun,1,80,21,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-27 00:00:00,13,W13 2021,202113,2021
2021-03-22 00:00:00,20210322,Mon,2,81,22,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-27 00:00:00,13,W13 2021,202113,2021
2021-03-23 00:00:00,20210323,Tue,3,82,23,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-27 00:00:00,13,W13 2021,202113,2021
2021-03-24 00:00:00,20210324,Wed,4,83,24,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-27 00:00:00,13,W13 2021,202113,2021
2021-03-25 00:00:00,20210325,Thu,5,84,25,Mar,3,Mar 2021,202103,1,Q1 2021,20211,2021-03-27 00:00:00,13,W13 2021,202113,2021
